"Identifier","Default language","Text"
"Settings","en-US","Einstellungen"
"REST API","en-US","REST-API"
"Tag Generator","en-US","Tag-Generator"
"Templates","en-US","Vorlagen"
"Languages","en-US","Sprachen"
"Custom Fields","en-US","Benutzerdefinierte Felder"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Live-Support"
"Email Parser","en-US","E-Mail-Parser"
"Tickets","en-US","Tickets"
"Workflow","en-US","Arbeitsablauf"
"Ratings","en-US","Bewertungen"
"SLA","en-US","DLV"
"Escalations","en-US","Eskalation"
"Bayesian","en-US","Bayesian"
"Knowledgebase","en-US","Wissensdatenbank"
"News","en-US","News"
"Troubleshooter","en-US","Fehlersuche"
"Widgets","en-US","Widgets"
"Apps","en-US","Apps"
"Logs","en-US","Protokoll"
"Scheduled Tasks","en-US","Geplante Tasks"
"Database","en-US","Datenbank"
"Import","en-US","Importieren"
"Diagnostics","en-US","Diagnostik"
"Maintenance","en-US","Wartung"
"Groups","en-US","Gruppen"
"Search","en-US","Suchen"
"Import/Export","en-US","Importieren/Exportieren"
"Restore","en-US","Wiederherstellen"
"Header Logos","en-US","Header-Logos"
"Phrases","en-US","Ausdrücke"
"Fields","en-US","Felder"
"Types","en-US","Typen"
"Statuses","en-US","Status"
"Priorities","en-US","Prioritäten"
"File Types","en-US","Dateitypen"
"Links","en-US","Links"
"Auto Close","en-US","Automatische Schließung"
"Plans","en-US","Pläne"
"Schedules","en-US","Zeitpläne"
"Holidays","en-US","Feiertage"
"Categories","en-US","Kategorien"
"Error Log","en-US","Fehlerprotokoll"
"Task Log","en-US","Aufgabenprotokoll"
"Activity Log","en-US","Aktivitätsprotokoll"
"Login Log","en-US","Anmeldeprotokoll"
"Manage","en-US","Verwalten"
"Table Information","en-US","Tabelleninformation"
"Active Sessions","en-US","Aktive Sitzung"
"Cache Info","en-US","Cache-Infos"
"Rebuild Cache","en-US","Cache neuerstellen"
"PHP Info","en-US","PHP-Info"
"Report Issue","en-US","Fehler melden"
"License Info","en-US","Lizenzinfo"
"Visitor Rules","en-US","Besucherregeln"
"Visitor Groups","en-US","Besuchergruppen"
"Staff Skills","en-US","Kenntnisse des Personals"
"Visitor Bans","en-US","Besuchersperrungen"
"Message Routing","en-US","Nachrichtenverteilung"
"Staff Status","en-US","Personalstatus"
"API Information","en-US","API-Informationen"
"Import Log","en-US","Importprotokoll"
"Purge Attachments","en-US","Anhänge löschen"
"Move Attachments","en-US","Anhänge verschieben"
"Parser Log","en-US","Parser-Protokoll"
"Home","en-US","Startseite"
"Staff","en-US","Personal"
"Departments","en-US","Abteilungen"
"Users","en-US","Benutzer"
"Manage Staff","en-US","Personal verwalten"
"Manage Teams","en-US","Teams verwalten"
"Insert Staff","en-US","Personal einfügen"
"Insert Teams","en-US","Team einfügen"
"Manage Departments","en-US","Abteilungen verwalten"
"Insert Department","en-US","Abteilung eingeben"
"Access Overview","en-US","Zugangsübersicht"
"Manage User Groups","en-US","Benutzergruppen verwalten"
"Insert User Groups","en-US","Benutzergruppen einfügen"
"Troubleshooter","en-US","Fehlersuche"
"Reports","en-US","Berichte"
"My Preferences","en-US","Meine Einstellungen"
"Notifications","en-US","Benachrichtigungen"
"Comments","en-US","Kommentare"
"Manage Tickets","en-US","Tickets verwalten"
"New Ticket","en-US","Neues Ticket"
"Macros","en-US","Makros"
"Views","en-US","Ansichten"
"Filters","en-US","Filter"
"Chat History","en-US","Chat-Verlauf"
"Messages/Surveys","en-US","Nachrichten/Umfragen"
"Call Logs","en-US","Anrufsprotokolle"
"Canned Responses","en-US","Vorgefertigte Antworten"
"View Knowledgebase","en-US","Wissensdatenbank anzeigen"
"Manage Knowledgebase","en-US","Wissensdatenbank verwalten"
"New Article","en-US","Neuer Artikel"
"View Troubleshooter","en-US","Fehlersuche anzeigen"
"Manage Troubleshooter","en-US","Fehlersuche verwalten"
"New Step","en-US","Neuer Schritt"
"View News","en-US","News anzeigen"
"Manage News","en-US","News verwalten"
"Subscribers","en-US","Abonnenten"
"Insert News","en-US","News einfügen"
"Manage Users","en-US","Benutzer verwalten"
"Manage Organizations","en-US","Organisationen verwalten"
"Insert User","en-US","Benutzer einfügen"
"Insert Organizations","en-US","Organisation einfügen"
"Manage Reports","en-US","Berichte verwalten"
"New Report","en-US","Neuer Bericht"
"Email Queues","en-US","E-Mail-Warteschlangen"
"Rules","en-US","Regeln"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Catch-All-Regeln"
"Loop Blockages","en-US","Schleifenblockierungen"
"Loop Blocker Rules","en-US","Regeln zur Schleifenblockierung"
