"Identifier","Default language","Text"
"Settings","en-US","Configuración"
"REST API","en-US","REST API"
"Tag Generator","en-US","Generador de etiquetas"
"Templates","en-US","Plantillas"
"Languages","en-US","Idiomas"
"Custom Fields","en-US","Campos personalizados"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Soporte en vivo"
"Email Parser","en-US","Analizador de correos electrónicos"
"Tickets","en-US","Tickets"
"Workflow","en-US","Flujo de trabajo"
"Ratings","en-US","Calificaciones"
"SLA","en-US","SLA"
"Escalations","en-US","Escalaciones"
"Bayesian","en-US","Bayesiano"
"Knowledgebase","en-US","Base de conocimientos"
"News","en-US","Noticias"
"Troubleshooter","en-US","Solucionador de problemas"
"Widgets","en-US","Widgets"
"Apps","en-US","Aplicaciones"
"Logs","en-US","Registros"
"Scheduled Tasks","en-US","Tareas programadas"
"Database","en-US","Base de datos"
"Import","en-US","Importar"
"Diagnostics","en-US","Diagnóstico"
"Maintenance","en-US","Mantenimiento"
"Groups","en-US","Grupos"
"Search","en-US","Buscar"
"Import/Export","en-US","Importar/Exportar"
"Restore","en-US","Restaurar"
"Header Logos","en-US","Logos del encabezado"
"Phrases","en-US","Expresiones"
"Fields","en-US","Campos"
"Types","en-US","Tipos"
"Statuses","en-US","Estados"
"Priorities","en-US","Prioridades"
"File Types","en-US","Tipos de archivo"
"Links","en-US","Enlaces"
"Auto Close","en-US","Cierre automático"
"Plans","en-US","Planes"
"Schedules","en-US","Horarios"
"Holidays","en-US","Días festivos"
"Categories","en-US","Categorías"
"Error Log","en-US","Registro de errores"
"Task Log","en-US","Registro de tareas"
"Activity Log","en-US","Registro de actividad"
"Login Log","en-US","Registro de inicio de sesión"
"Manage","en-US","Gestionar"
"Table Information","en-US","Información de la tabla"
"Active Sessions","en-US","Sesiones activas"
"Cache Info","en-US","Información de la caché"
"Rebuild Cache","en-US","Reconstruir cache"
"PHP Info","en-US","Información de PHP"
"Report Issue","en-US","Informar sobre problema"
"License Info","en-US","Información de la licencia"
"Visitor Rules","en-US","Reglas de visitantes"
"Visitor Groups","en-US","Grupos de visitantes"
"Staff Skills","en-US","Habilidades del personal"
"Visitor Bans","en-US","Bloqueos de visitantes"
"Message Routing","en-US","Enrutamiento de mensajes"
"Staff Status","en-US","Estado del personal"
"API Information","en-US","Información de la API"
"Import Log","en-US","Registro de importación"
"Purge Attachments","en-US","Purgar archivos adjuntos"
"Move Attachments","en-US","Mover archivos adjuntos"
"Parser Log","en-US","Registro del analizador"
"Home","en-US","Página principal"
"Staff","en-US","Personal"
"Departments","en-US","Departamentos"
"Users","en-US","Usuarios"
"Manage Staff","en-US","Administrar personal"
"Manage Teams","en-US","Administrar equipos"
"Insert Staff","en-US","Insertar personal"
"Insert Teams","en-US","Insertar equipos"
"Manage Departments","en-US","Administrar departamentos"
"Insert Department","en-US","Insertar departamento"
"Access Overview","en-US","Resumen de acceso"
"Manage User Groups","en-US","Administrar grupos de usuarios"
"Insert User Groups","en-US","Insertar grupos de usuarios"
"Troubleshooter","en-US","Solucionador de problemas"
"Reports","en-US","Informes"
"My Preferences","en-US","Mis Preferencias"
"Notifications","en-US","Notificaciones"
"Comments","en-US","Comentarios"
"Manage Tickets","en-US","Administrar tickets"
"New Ticket","en-US","Ticket nuevo"
"Macros","en-US","Macros"
"Views","en-US","Vistas"
"Filters","en-US","Filtros"
"Chat History","en-US","Historial del chat"
"Messages/Surveys","en-US","Mensajes/Encuestas"
"Call Logs","en-US","Registros de llamadas"
"Canned Responses","en-US","Respuestas estándar"
"View Knowledgebase","en-US","Ver base de conocimiento"
"Manage Knowledgebase","en-US","Administrar base de conocimiento"
"New Article","en-US","Artículo nuevo"
"View Troubleshooter","en-US","Ver solucionador de problemas"
"Manage Troubleshooter","en-US","Administrar solucionador de problemas"
"New Step","en-US","Paso nuevo"
"View News","en-US","Ver noticias"
"Manage News","en-US","Administrar noticias"
"Subscribers","en-US","Suscriptores"
"Insert News","en-US","Insertar noticias"
"Manage Users","en-US","Administrar usuarios"
"Manage Organizations","en-US","Administrar organizaciones"
"Insert User","en-US","Insertar usuario"
"Insert Organizations","en-US","Insertar organizaciones"
"Manage Reports","en-US","Administrar informes"
"New Report","en-US","Informe nuevo"
"Email Queues","en-US","Colas de correo electrónico"
"Rules","en-US","Reglas"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Reglas catch-all"
"Loop Blockages","en-US","Bloqueos de bucles"
"Loop Blocker Rules","en-US","Reglas de bloqueo de bucles"
