"Identifier","Default language","Text"
"Settings","en-US","设置"
"REST API","en-US","REST API"
"Tag Generator","en-US","标签生成器"
"Templates","en-US","模板"
"Languages","en-US","语言"
"Custom Fields","en-US","自定义字段"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","在线支持"
"Email Parser","en-US","电子邮件解析器"
"Tickets","en-US","服务单"
"Workflow","en-US","工作流"
"Ratings","en-US","评分"
"SLA","en-US","SLA"
"Escalations","en-US","移交上级"
"Bayesian","en-US","智能过滤"
"Knowledgebase","en-US","知识库"
"News","en-US","消息"
"Troubleshooter","en-US","疑难解答"
"Widgets","en-US","小部件"
"Apps","en-US","Apps"
"Logs","en-US","日志"
"Scheduled Tasks","en-US","计划任务"
"Database","en-US","数据库"
"Import","en-US","导入"
"Diagnostics","en-US","诊断"
"Maintenance","en-US","维护"
"Groups","en-US","分组"
"Search","en-US","搜索"
"Import/Export","en-US","导入/导出"
"Restore","en-US","恢复"
"Header Logos","en-US","头部Logo"
"Phrases","en-US","短语"
"Fields","en-US","字段"
"Types","en-US","类型"
"Statuses","en-US","状态"
"Priorities","en-US","优先级"
"File Types","en-US","文件类型"
"Links","en-US","链接"
"Auto Close","en-US","自动关闭"
"Plans","en-US","计划"
"Schedules","en-US","日程安排"
"Holidays","en-US","假期"
"Categories","en-US","分类"
"Error Log","en-US","错误日志"
"Task Log","en-US","任务日志"
"Activity Log","en-US","活动日志"
"Login Log","en-US","登陆日志"
"Manage","en-US","管理"
"Table Information","en-US","表信息"
"Active Sessions","en-US","有效期"
"Cache Info","en-US","缓存信息"
"Rebuild Cache","en-US","重建缓存"
"PHP Info","en-US","PHP 信息"
"Report Issue","en-US","报告问题"
"License Info","en-US","授权信息"
"Visitor Rules","en-US","访客规则"
"Visitor Groups","en-US","游客分组"
"Staff Skills","en-US","员工技能"
"Visitor Bans","en-US","访客禁令"
"Message Routing","en-US","信息发送"
"Staff Status","en-US","员工状态"
"API Information","en-US","API 信息"
"Import Log","en-US","导入日志"
"Purge Attachments","en-US","清除附件"
"Move Attachments","en-US","移动附件"
"Parser Log","en-US","解析器日志"
"Home","en-US","首页"
"Staff","en-US","员工"
"Departments","en-US","部门"
"Users","en-US","用户"
"Manage Staff","en-US","管理员工"
"Manage Teams","en-US","管理团队"
"Insert Staff","en-US","添加员工"
"Insert Teams","en-US","添加团队"
"Manage Departments","en-US","管理部门"
"Insert Department","en-US","添加部门"
"Access Overview","en-US","访问概述"
"Manage User Groups","en-US","管理用户组"
"Insert User Groups","en-US","添加用户组"
"Troubleshooter","en-US","疑难解答"
"Reports","en-US","报告"
"My Preferences","en-US","我的偏好设置"
"Notifications","en-US","通知消息"
"Comments","en-US","评论"
"Manage Tickets","en-US","管理服务单"
"New Ticket","en-US","新服务单"
"Macros","en-US","预设回复"
"Views","en-US","视图"
"Filters","en-US","筛选器"
"Chat History","en-US","聊天历史记录"
"Messages/Surveys","en-US","消息/调查"
"Call Logs","en-US","呼叫日志"
"Canned Responses","en-US","预设回复"
"View Knowledgebase","en-US","查看知识库"
"Manage Knowledgebase","en-US","管理知识库"
"New Article","en-US","新文章"
"View Troubleshooter","en-US","查看疑难解答"
"Manage Troubleshooter","en-US","管理疑难解答"
"New Step","en-US","下一步"
"View News","en-US","查看消息"
"Manage News","en-US","管理消息"
"Subscribers","en-US","订阅用户"
"Insert News","en-US","添加消息"
"Manage Users","en-US","管理用户"
"Manage Organizations","en-US","管理组织"
"Insert User","en-US","添加用户"
"Insert Organizations","en-US","添加组织"
"Manage Reports","en-US","管理报告"
"New Report","en-US","添加报告"
"Email Queues","en-US","邮件队列"
"Rules","en-US","规则"
"Bans","en-US","禁令"
"Catch-all Rules","en-US","全部捕获规则"
"Loop Blockages","en-US","循环阻塞"
"Loop Blocker Rules","en-US","循环拦截规则"
