"Identifier","Default language","Text"
"Settings","en-US","Настройки"
"REST API","en-US","REST API"
"Tag Generator","en-US","Генератор ярлыков"
"Templates","en-US","Шаблоны"
"Languages","en-US","Языки"
"Custom Fields","en-US","Настраиваемые поля"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Онлайн чат"
"Email Parser","en-US","Парсер почты"
"Tickets","en-US","Заявки"
"Workflow","en-US","Последовательность действий"
"Ratings","en-US","Рейтинги"
"SLA","en-US","SLA"
"Escalations","en-US","Эскалации"
"Bayesian","en-US","Байесовы"
"Knowledgebase","en-US","База знаний"
"News","en-US","Новости"
"Troubleshooter","en-US","Устранение неполадок"
"Widgets","en-US","Виджеты"
"Apps","en-US","Модули"
"Logs","en-US","Журналы регистрации"
"Scheduled Tasks","en-US","Запланированные задания"
"Database","en-US","База данных"
"Import","en-US","Импорт"
"Diagnostics","en-US","Диагностика"
"Maintenance","en-US","Управление"
"Groups","en-US","Группы"
"Search","en-US","Поиск"
"Import/Export","en-US","Импорт/Экспорт"
"Restore","en-US","Восстановить"
"Header Logos","en-US","Логотипы заглавий"
"Phrases","en-US","Фразы"
"Fields","en-US","Поля"
"Types","en-US","Типы"
"Statuses","en-US","Статусы"
"Priorities","en-US","Приоритеты"
"File Types","en-US","Типы файлов"
"Links","en-US","Ссылки"
"Auto Close","en-US","Автоматическое закрытие"
"Plans","en-US","Планы"
"Schedules","en-US","Графики"
"Holidays","en-US","Выходные дни"
"Categories","en-US","Категории"
"Error Log","en-US","Лог ошибок"
"Task Log","en-US","Журнал заданий"
"Activity Log","en-US","Журнал регистрации операций"
"Login Log","en-US","Журнал регистрации доступа"
"Manage","en-US","Управлять"
"Table Information","en-US","Информация о таблице"
"Active Sessions","en-US","Активные сессии"
"Cache Info","en-US","Информация кэша"
"Rebuild Cache","en-US","Перестроить кэш"
"PHP Info","en-US","PHP информация"
"Report Issue","en-US","Отчет об ошибке"
"License Info","en-US","Информация о лицензии"
"Visitor Rules","en-US","Правила посетителей"
"Visitor Groups","en-US","Группы пользователей"
"Staff Skills","en-US","Навыки сотрудников"
"Visitor Bans","en-US","Запреты посетителей"
"Message Routing","en-US","Маршрутизация сообщений"
"Staff Status","en-US","Статус персонала"
"API Information","en-US","API инфрмация"
"Import Log","en-US","Журнал импорта"
"Purge Attachments","en-US","Очистка вложений"
"Move Attachments","en-US","Переместить приложения"
"Parser Log","en-US","Журнал парсера"
"Home","en-US","Главная"
"Staff","en-US","Персонал"
"Departments","en-US","Департаменты"
"Users","en-US","Пользователи"
"Manage Staff","en-US","Управление персоналом"
"Manage Teams","en-US","Управление командами"
"Insert Staff","en-US","Добавить сотрудника"
"Insert Teams","en-US","Добавить команду"
"Manage Departments","en-US","Управление департаментами"
"Insert Department","en-US","Добавить департамент"
"Access Overview","en-US","Доступ"
"Manage User Groups","en-US","Управление группами пользователей"
"Insert User Groups","en-US","Добавить группу пользователей"
"Troubleshooter","en-US","Устранение неполадок"
"Reports","en-US","Отчеты"
"My Preferences","en-US","Мои предпочтения"
"Notifications","en-US","Уведомления"
"Comments","en-US","Комментарии"
"Manage Tickets","en-US","Управление заявками"
"New Ticket","en-US","Новая заявка"
"Macros","en-US","Макрос"
"Views","en-US","Режимы отображения"
"Filters","en-US","Фильтры"
"Chat History","en-US","История чата"
"Messages/Surveys","en-US","Сообщения/опросы"
"Call Logs","en-US","Журнал звонков"
"Canned Responses","en-US","Шаблонные ответы"
"View Knowledgebase","en-US","База знаний"
"Manage Knowledgebase","en-US","Управление базой знаний"
"New Article","en-US","Новая статья"
"View Troubleshooter","en-US","Устранение неполадок"
"Manage Troubleshooter","en-US","Управление устранением неполадок"
"New Step","en-US","Новый шаг"
"View News","en-US","Новости"
"Manage News","en-US","Управление новостями"
"Subscribers","en-US","Подписчики"
"Insert News","en-US","Добавить новость"
"Manage Users","en-US","Управление пользователями"
"Manage Organizations","en-US","Управление организациями"
"Insert User","en-US","Добавить пользователя"
"Insert Organizations","en-US","Добавить организацию"
"Manage Reports","en-US","Управление отчетами"
"New Report","en-US","Новый отчет"
"Email Queues","en-US","Очереди Email"
"Rules","en-US","Правила"
"Bans","en-US","Баны"
"Catch-all Rules","en-US","Общие правила"
"Loop Blockages","en-US","Циклические запреты"
"Loop Blocker Rules","en-US","Циклические правила"
