"Identifier","Default language","Text"
"Settings","en-US","Settings"
"REST API","en-US","REST API"
"Tag Generator","en-US","Tag Generator"
"Templates","en-US","Templates"
"Languages","en-US","Languages"
"Custom Fields","en-US","Custom Fields"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Live Support"
"Email Parser","en-US","Email Parser"
"Tickets","en-US","Tickets"
"Workflow","en-US","Workflow"
"Ratings","en-US","Ratings"
"SLA","en-US","SLA"
"Escalations","en-US","Escalations"
"Bayesian","en-US","Bayesian"
"Knowledgebase","en-US","Knowledgebase"
"News","en-US","News"
"Troubleshooter","en-US","Troubleshooter"
"Widgets","en-US","Widgets"
"Apps","en-US","Apps"
"Logs","en-US","Logs"
"Scheduled Tasks","en-US","Scheduled Tasks"
"Database","en-US","Database"
"Import","en-US","Import"
"Diagnostics","en-US","Diagnostics"
"Maintenance","en-US","Maintenance"
"Groups","en-US","Groups"
"Search","en-US","Search"
"Import/Export","en-US","Import/Export"
"Restore","en-US","Restore"
"Header Logos","en-US","Header Logos"
"Phrases","en-US","Phrases"
"Fields","en-US","Fields"
"Types","en-US","Types"
"Statuses","en-US","Statuses"
"Priorities","en-US","Priorities"
"File Types","en-US","File Types"
"Links","en-US","Links"
"Auto Close","en-US","Auto Close"
"Plans","en-US","Plans"
"Schedules","en-US","Schedules"
"Holidays","en-US","Holidays"
"Categories","en-US","Categories"
"Error Log","en-US","Error Log"
"Task Log","en-US","Task Log"
"Activity Log","en-US","Activity Log"
"Login Log","en-US","Login Log"
"Manage","en-US","Manage"
"Table Information","en-US","Table Information"
"Active Sessions","en-US","Active Sessions"
"Cache Info","en-US","Cache Info"
"Rebuild Cache","en-US","Rebuild Cache"
"PHP Info","en-US","PHP Info"
"Report Issue","en-US","Report Issue"
"License Info","en-US","License Info"
"Visitor Rules","en-US","Visitor Rules"
"Visitor Groups","en-US","Visitor Groups"
"Staff Skills","en-US","Staff Skills"
"Visitor Bans","en-US","Visitor Bans"
"Message Routing","en-US","Message Routing"
"Staff Status","en-US","Staff Status"
"API Information","en-US","API Information"
"Import Log","en-US","Import Log"
"Purge Attachments","en-US","Purge Attachments"
"Move Attachments","en-US","Move Attachments"
"Parser Log","en-US","Parser Log"
"Home","en-US","Home"
"Staff","en-US","Staff"
"Departments","en-US","Departments"
"Users","en-US","Users"
"Manage Staff","en-US","Manage Staff"
"Manage Teams","en-US","Manage Teams"
"Insert Staff","en-US","Insert Staff"
"Insert Teams","en-US","Insert Teams"
"Manage Departments","en-US","Manage Departments"
"Insert Department","en-US","Insert Department"
"Access Overview","en-US","Access Overview"
"Manage User Groups","en-US","Manage User Groups"
"Insert User Groups","en-US","Insert User Groups"
"Troubleshooter","en-US","Troubleshooter"
"Reports","en-US","Reports"
"My Preferences","en-US","My Preferences"
"Notifications","en-US","Notifications"
"Comments","en-US","Comments"
"Manage Tickets","en-US","Manage Tickets"
"New Ticket","en-US","New Ticket"
"Macros","en-US","Macros"
"Views","en-US","Views"
"Filters","en-US","Filters"
"Chat History","en-US","Chat History"
"Messages/Surveys","en-US","Messages/Surveys"
"Call Logs","en-US","Call Logs"
"Canned Responses","en-US","Canned Responses"
"View Knowledgebase","en-US","View Knowledgebase"
"Manage Knowledgebase","en-US","Manage Knowledgebase"
"New Article","en-US","New Article"
"View Troubleshooter","en-US","View Troubleshooter"
"Manage Troubleshooter","en-US","Manage Troubleshooter"
"New Step","en-US","New Step"
"View News","en-US","View News"
"Manage News","en-US","Manage News"
"Subscribers","en-US","Subscribers"
"Insert News","en-US","Insert News"
"Manage Users","en-US","Manage Users"
"Manage Organizations","en-US","Manage Organizations"
"Insert User","en-US","Insert User"
"Insert Organizations","en-US","Insert Organizations"
"Manage Reports","en-US","Manage Reports"
"New Report","en-US","New Report"
"Email Queues","en-US","Email Queues"
"Rules","en-US","Rules"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Catch-all Rules"
"Loop Blockages","en-US","Loop Blockages"
"Loop Blocker Rules","en-US","Loop Blocker Rules"
