"Identifier","Default language","Text"
"Settings","en-US","Definições"
"REST API","en-US","REST API"
"Tag Generator","en-US","Gerador de marcas"
"Templates","en-US","Modelos"
"Languages","en-US","Idiomas"
"Custom Fields","en-US","Campos personalizados"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Suporte em tempo real"
"Email Parser","en-US","Analisador de email"
"Tickets","en-US","Pedidos de suporte"
"Workflow","en-US","Fluxo de trabalho"
"Ratings","en-US","Classificações"
"SLA","en-US","SLA"
"Escalations","en-US","Escalonamentos"
"Bayesian","en-US","Bayesiana"
"Knowledgebase","en-US","Base de dados de conhecimento"
"News","en-US","Notícias"
"Troubleshooter","en-US","Resolução de problemas"
"Widgets","en-US","Miniaplicações"
"Apps","en-US","Aplicações"
"Logs","en-US","Registos"
"Scheduled Tasks","en-US","Tarefas agendadas"
"Database","en-US","Base de dados"
"Import","en-US","Importar"
"Diagnostics","en-US","Diagnóstico"
"Maintenance","en-US","Manutenção"
"Groups","en-US","Grupos"
"Search","en-US","Pesquisar"
"Import/Export","en-US","Importar/Exportar"
"Restore","en-US","Restaurar"
"Header Logos","en-US","Logótipos do cabeçalho"
"Phrases","en-US","Frases"
"Fields","en-US","Campos"
"Types","en-US","Tipos"
"Statuses","en-US","Estados"
"Priorities","en-US","Prioridades"
"File Types","en-US","Tipos de ficheiro"
"Links","en-US","Ligações"
"Auto Close","en-US","Fecho automático"
"Plans","en-US","Planos"
"Schedules","en-US","Agendamentos"
"Holidays","en-US","Feriados"
"Categories","en-US","Categorias"
"Error Log","en-US","Registo de erros"
"Task Log","en-US","Registo de tarefas"
"Activity Log","en-US","Registo de atividades"
"Login Log","en-US","Registo de início de sessão"
"Manage","en-US","Gerir"
"Table Information","en-US","Informações da tabela"
"Active Sessions","en-US","Sessões ativas"
"Cache Info","en-US","Informações de cache"
"Rebuild Cache","en-US","Reconstruir cache"
"PHP Info","en-US","Informações do PHP"
"Report Issue","en-US","Reportar problema"
"License Info","en-US","Informações sobre a licença"
"Visitor Rules","en-US","Regras do visitante"
"Visitor Groups","en-US","Grupos de visitantes"
"Staff Skills","en-US","Competências do pessoal"
"Visitor Bans","en-US","Banimentos de visitantes"
"Message Routing","en-US","Encaminhamento de mensagens"
"Staff Status","en-US","Estado do pessoal"
"API Information","en-US","Informações de API"
"Import Log","en-US","Registo de importações"
"Purge Attachments","en-US","Remover anexos"
"Move Attachments","en-US","Mover anexos"
"Parser Log","en-US","Registo do analisador"
"Home","en-US","Página inicial"
"Staff","en-US","Pessoal"
"Departments","en-US","Departamentos"
"Users","en-US","Utilizadores"
"Manage Staff","en-US","Gerir pessoal"
"Manage Teams","en-US","Gerir equipas"
"Insert Staff","en-US","Inserir pessoal"
"Insert Teams","en-US","Inserir equipas"
"Manage Departments","en-US","Gerir departamentos"
"Insert Department","en-US","Inserir departamento"
"Access Overview","en-US","Descrição geral de acesso"
"Manage User Groups","en-US","Gerir grupos de utilizadores"
"Insert User Groups","en-US","Inserir grupos de utilizadores"
"Troubleshooter","en-US","Resolução de problemas"
"Reports","en-US","Relatórios"
"My Preferences","en-US","As minhas preferências"
"Notifications","en-US","Notificações"
"Comments","en-US","Comentários"
"Manage Tickets","en-US","Gerir pedidos de suporte"
"New Ticket","en-US","Novo pedido de suporte"
"Macros","en-US","Macros"
"Views","en-US","Vistas"
"Filters","en-US","Filtros"
"Chat History","en-US","Histórico de conversação"
"Messages/Surveys","en-US","Mensagens/inquéritos"
"Call Logs","en-US","Registos de chamadas"
"Canned Responses","en-US","Respostas pré-configuradas"
"View Knowledgebase","en-US","Ver base de dados de conhecimento"
"Manage Knowledgebase","en-US","Gerir base de dados de conhecimento"
"New Article","en-US","Novo artigo"
"View Troubleshooter","en-US","Ver resolução de problemas"
"Manage Troubleshooter","en-US","Gerir resolução de problemas"
"New Step","en-US","Novo passo"
"View News","en-US","Ver notícias"
"Manage News","en-US","Gerir notícias"
"Subscribers","en-US","Subscritores"
"Insert News","en-US","Inserir notícias"
"Manage Users","en-US","Gerir utilizadores"
"Manage Organizations","en-US","Gerir organizações"
"Insert User","en-US","Inserir utilizador"
"Insert Organizations","en-US","Inserir organizações"
"Manage Reports","en-US","Gerir relatórios"
"New Report","en-US","Novo relatório"
"Email Queues","en-US","Fila de email"
"Rules","en-US","Regras"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Regras catch-all"
"Loop Blockages","en-US","Bloqueios de ciclo"
"Loop Blocker Rules","en-US","Regras do bloqueador de ciclo"
