"Identifier","Default language","Text"
"Settings","en-US","Ayarlar"
"REST API","en-US","REST API"
"Tag Generator","en-US","Etiket Oluşturucu"
"Templates","en-US","Şablonlar"
"Languages","en-US","Diller"
"Custom Fields","en-US","Özel Alanlar"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Canlı Destek"
"Email Parser","en-US","E-posta ayrıştırıcı"
"Tickets","en-US","Talepler"
"Workflow","en-US","İş Akışı"
"Ratings","en-US","Derecelendirmeler"
"SLA","en-US","SLA"
"Escalations","en-US","Artış"
"Bayesian","en-US","Bayesian"
"Knowledgebase","en-US","Bilgi Bankası"
"News","en-US","Haberler"
"Troubleshooter","en-US","Sorun giderici"
"Widgets","en-US","Araçlar"
"Apps","en-US","Apps"
"Logs","en-US","Loglar"
"Scheduled Tasks","en-US","Zamanlanmış görevler"
"Database","en-US","Veritabanı"
"Import","en-US","İçe aktar"
"Diagnostics","en-US","Tanılama"
"Maintenance","en-US","Bakım"
"Groups","en-US","Gruplar"
"Search","en-US","Arama"
"Import/Export","en-US","İçe/Dışa Aktar"
"Restore","en-US","Geri Yükle"
"Header Logos","en-US","Başlık logoları"
"Phrases","en-US","İfadeler"
"Fields","en-US","Alanlar"
"Types","en-US","Türler"
"Statuses","en-US","Durumlar"
"Priorities","en-US","Öncelikler"
"File Types","en-US","Dosya türleri"
"Links","en-US","Linkler"
"Auto Close","en-US","Otomatik kapat"
"Plans","en-US","Planlar"
"Schedules","en-US","Zamanlamalar"
"Holidays","en-US","Tatiller"
"Categories","en-US","Kategoriler"
"Error Log","en-US","Hata günlüğü"
"Task Log","en-US","Görev günlüğü"
"Activity Log","en-US","Etkinlik günlüğü"
"Login Log","en-US","Giriş günlüğü"
"Manage","en-US","Yönet"
"Table Information","en-US","Tablo bilgileri"
"Active Sessions","en-US","Etkin Oturumlar"
"Cache Info","en-US","Önbellek bilgileri"
"Rebuild Cache","en-US","Önbelleği yenile"
"PHP Info","en-US","PHP bilgisi"
"Report Issue","en-US","Konuyu raporla"
"License Info","en-US","Lisans Bilgisi"
"Visitor Rules","en-US","Ziyaretçi kuralları"
"Visitor Groups","en-US","Ziyaretçi Grupları"
"Staff Skills","en-US","Personel becerileri"
"Visitor Bans","en-US","Ziyaretçi yasakları"
"Message Routing","en-US","İleti yönlendirme"
"Staff Status","en-US","Personel durumu"
"API Information","en-US","API bilgileri"
"Import Log","en-US","Günlüğü içe aktar"
"Purge Attachments","en-US","Eklentileri temizle"
"Move Attachments","en-US","Ekleri taşı"
"Parser Log","en-US","Ayrıştırıcı günlüğü"
"Home","en-US","anasayfa"
"Staff","en-US","Personel"
"Departments","en-US","Departmanlar"
"Users","en-US","Kullanıcılar"
"Manage Staff","en-US","Personeli yönet"
"Manage Teams","en-US","Ekipleri yönet"
"Insert Staff","en-US","Personel ekle"
"Insert Teams","en-US","Ekip Ekle"
"Manage Departments","en-US","Departmanları yönet"
"Insert Department","en-US","Departman ekle"
"Access Overview","en-US","Erişime genel bakış"
"Manage User Groups","en-US","Kullanıcı gruplarını yönet"
"Insert User Groups","en-US","Kullanıcı grupları Ekle"
"Troubleshooter","en-US","Sorun giderici"
"Reports","en-US","Raporlar"
"My Preferences","en-US","Tercihlerim"
"Notifications","en-US","Bildirimler"
"Comments","en-US","Yorumlar"
"Manage Tickets","en-US","Talepleri yönet"
"New Ticket","en-US","Yeni talep"
"Macros","en-US","Makrolar"
"Views","en-US","Görünümler"
"Filters","en-US","Filtreler"
"Chat History","en-US","Sohbet geçmişi"
"Messages/Surveys","en-US","Mesajlar/anketler"
"Call Logs","en-US","Arama kayıtları"
"Canned Responses","en-US","Kaydedilmiş yanıtlar"
"View Knowledgebase","en-US","Bilgi bankasını görüntüle"
"Manage Knowledgebase","en-US","Bilgi bankasını yönet"
"New Article","en-US","Yeni makale"
"View Troubleshooter","en-US","Sorun gidericiyi görüntüle"
"Manage Troubleshooter","en-US","Sorun gidericiyi yönet"
"New Step","en-US","Yeni adım"
"View News","en-US","Haberleri görüntüle"
"Manage News","en-US","Haberleri yönet"
"Subscribers","en-US","Aboneler"
"Insert News","en-US","Haber Ekle"
"Manage Users","en-US","Kullanıcıları Yönet"
"Manage Organizations","en-US","Kurumları yönet"
"Insert User","en-US","Kullanıcı Ekle"
"Insert Organizations","en-US","Kurumları ekle"
"Manage Reports","en-US","Raporları Yönet"
"New Report","en-US","Yeni rapor"
"Email Queues","en-US","E-posta sıraları"
"Rules","en-US","Kurallar"
"Bans","en-US","Yasaklar"
"Catch-all Rules","en-US","geniş kapsamlı kurallar"
"Loop Blockages","en-US","Döngü blokajları"
"Loop Blocker Rules","en-US","Döngü önleyici kuralları"
