"Identifier","Default language","Text"
"Settings","en-US","Paramètres"
"REST API","en-US","REST API"
"Tag Generator","en-US","Generateur de balise"
"Templates","en-US","Modèles"
"Languages","en-US","Langues"
"Custom Fields","en-US","Champs personnalisés"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Assistance en direct"
"Email Parser","en-US","Analyseur d'email"
"Tickets","en-US","Tickets"
"Workflow","en-US","Flux de travail"
"Ratings","en-US","Classements"
"SLA","en-US","SLA"
"Escalations","en-US","Escalades"
"Bayesian","en-US","Bayésien"
"Knowledgebase","en-US","Base de connaissances"
"News","en-US","Actualités"
"Troubleshooter","en-US","Dépannage"
"Widgets","en-US","Gadgets"
"Apps","en-US","Apps"
"Logs","en-US","Journaux"
"Scheduled Tasks","en-US","Tâches planifiées"
"Database","en-US","Base de données"
"Import","en-US","Importer"
"Diagnostics","en-US","Diagnostiques"
"Maintenance","en-US","Maintenance"
"Groups","en-US","Groupes"
"Search","en-US","Recherche"
"Import/Export","en-US","Importer/Exporter"
"Restore","en-US","Restaurer"
"Header Logos","en-US","Logos de l'en-tête"
"Phrases","en-US","Phrases"
"Fields","en-US","Champs"
"Types","en-US","Types"
"Statuses","en-US","État"
"Priorities","en-US","Priorités"
"File Types","en-US","Types de fichiers"
"Links","en-US","Liens"
"Auto Close","en-US","Auto Close"
"Plans","en-US","Plans"
"Schedules","en-US","Horaires"
"Holidays","en-US","Vacances"
"Categories","en-US","Catégories"
"Error Log","en-US","Journal des erreurs"
"Task Log","en-US","Journal des tâches"
"Activity Log","en-US","Journal d'activité"
"Login Log","en-US","Journal de connexion"
"Manage","en-US","Gérer"
"Table Information","en-US","Informations de la table"
"Active Sessions","en-US","Sessions actives"
"Cache Info","en-US","Infos Cache"
"Rebuild Cache","en-US","Reconstruire le cache"
"PHP Info","en-US","Informations PHP"
"Report Issue","en-US","Rapporter le problème"
"License Info","en-US","Infos licence"
"Visitor Rules","en-US","Règles visiteur"
"Visitor Groups","en-US","Groupes de visiteurs"
"Staff Skills","en-US","Compétences du personnel"
"Visitor Bans","en-US","Bannissements visiteurs"
"Message Routing","en-US","Routage des messages"
"Staff Status","en-US","Statut du personnel"
"API Information","en-US","Informations API"
"Import Log","en-US","Journal d'importation"
"Purge Attachments","en-US","Purger les pièces jointes"
"Move Attachments","en-US","Déplacer les pièces jointes"
"Parser Log","en-US","Analyseur de journal"
"Home","en-US","Accueil"
"Staff","en-US","Personnel"
"Departments","en-US","Services"
"Users","en-US","Utilisateurs"
"Manage Staff","en-US","Gérer le personnel"
"Manage Teams","en-US","Gérer les équipes"
"Insert Staff","en-US","Ajouter des opérateurs"
"Insert Teams","en-US","Ajouter équipes"
"Manage Departments","en-US","Gérer les départements"
"Insert Department","en-US","Ajouter le service"
"Access Overview","en-US","Vue d'ensemble de l'accès"
"Manage User Groups","en-US","Gérer les groupes d'utilisateurs"
"Insert User Groups","en-US","Insérer groupes d'utilisateurs"
"Troubleshooter","en-US","Dépannage"
"Reports","en-US","Rapports"
"My Preferences","en-US","Mes préférences"
"Notifications","en-US","Notifications"
"Comments","en-US","Commentaires"
"Manage Tickets","en-US","Gérer les Tickets"
"New Ticket","en-US","Nouveau ticket"
"Macros","en-US","Macros"
"Views","en-US","Vues"
"Filters","en-US","Filtres"
"Chat History","en-US","Historique du chat"
"Messages/Surveys","en-US","Messages/sondages"
"Call Logs","en-US","Journaux d'appels"
"Canned Responses","en-US","Réponses préenregistrées"
"View Knowledgebase","en-US","Afficher la base de connaissances"
"Manage Knowledgebase","en-US","Gérer base de connaissances"
"New Article","en-US","Nouvel Article"
"View Troubleshooter","en-US","Voir Dépanneur"
"Manage Troubleshooter","en-US","Gérer Dépanneur"
"New Step","en-US","Nouvelle étape"
"View News","en-US","Afficher les actualités"
"Manage News","en-US","Gérer les actualités"
"Subscribers","en-US","Abonnés"
"Insert News","en-US","Ajouter les actualités"
"Manage Users","en-US","Gérer les utilisateurs"
"Manage Organizations","en-US","Gérer les organisations"
"Insert User","en-US","Ajouter un utilisateur"
"Insert Organizations","en-US","Ajouter organisations"
"Manage Reports","en-US","Gérer rapports"
"New Report","en-US","Nouveau rapport"
"Email Queues","en-US","Files d'attente"
"Rules","en-US","Règles"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Règles fourre-tout"
"Loop Blockages","en-US","Blocages de boucles"
"Loop Blocker Rules","en-US","Règles de bloqueur de boucles"
