"Identifier","Default language","Text"
"Settings","en-US","Instellingen"
"REST API","en-US","REST-API"
"Tag Generator","en-US","Taggenerator"
"Templates","en-US","Sjablonen"
"Languages","en-US","Talen"
"Custom Fields","en-US","Aangepaste velden"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Live Support"
"Email Parser","en-US","Emailparser"
"Tickets","en-US","Tickets"
"Workflow","en-US","Workflow"
"Ratings","en-US","Beoordelingen"
"SLA","en-US","SLA"
"Escalations","en-US","Escalaties"
"Bayesian","en-US","Bayesiaans"
"Knowledgebase","en-US","Kennisbank"
"News","en-US","Nieuws"
"Troubleshooter","en-US","Probleemoplosser"
"Widgets","en-US","Widgets"
"Apps","en-US","Apps"
"Logs","en-US","Logs"
"Scheduled Tasks","en-US","Geplande taken"
"Database","en-US","Database"
"Import","en-US","Importeren"
"Diagnostics","en-US","Diagnostiek"
"Maintenance","en-US","Onderhoud"
"Groups","en-US","Groepen"
"Search","en-US","Zoeken"
"Import/Export","en-US","Importeren/exporteren"
"Restore","en-US","Herstellen"
"Header Logos","en-US","Koplogo's"
"Phrases","en-US","Zinnen"
"Fields","en-US","Velden"
"Types","en-US","Types"
"Statuses","en-US","Statussen"
"Priorities","en-US","Prioriteiten"
"File Types","en-US","Bestandstypes"
"Links","en-US","Links"
"Auto Close","en-US","Automatisch sluiten"
"Plans","en-US","Plannen"
"Schedules","en-US","Schema 's"
"Holidays","en-US","Vakantiedagen"
"Categories","en-US","Categorieën"
"Error Log","en-US","Foutenlog"
"Task Log","en-US","Takenlog"
"Activity Log","en-US","Activiteitenlog"
"Login Log","en-US","Aanmeldlog"
"Manage","en-US","Beheren"
"Table Information","en-US","Tabelgegevens"
"Active Sessions","en-US","Actieve sessies"
"Cache Info","en-US","Cachegegevens"
"Rebuild Cache","en-US","Cache opnieuw opbouwen"
"PHP Info","en-US","PHP-info"
"Report Issue","en-US","Probleem melden"
"License Info","en-US","Licentiegegevens"
"Visitor Rules","en-US","Bezoekersregels"
"Visitor Groups","en-US","Bezoekersgroepen"
"Staff Skills","en-US","Medewerkervaardigheden"
"Visitor Bans","en-US","Bezoekersbans"
"Message Routing","en-US","Berichtroutering"
"Staff Status","en-US","Medewerkerstatus"
"API Information","en-US","API-gegevens"
"Import Log","en-US","Importlog"
"Purge Attachments","en-US","Bijlagen opschonen"
"Move Attachments","en-US","Bijlagen verplaatsen"
"Parser Log","en-US","Parserlog"
"Home","en-US","Start"
"Staff","en-US","Medewerker"
"Departments","en-US","Afdelingen"
"Users","en-US","Gebruikers"
"Manage Staff","en-US","Medewerkers beheren"
"Manage Teams","en-US","Teams beheren"
"Insert Staff","en-US","Medewerker toevoegen"
"Insert Teams","en-US","Teams toevoegen"
"Manage Departments","en-US","Afdelingen beheren"
"Insert Department","en-US","Afdeling toevoegen"
"Access Overview","en-US","Toegangsoverzicht"
"Manage User Groups","en-US","Gebruikersgroepen beheren"
"Insert User Groups","en-US","Gebruikersgroepen toevoegen"
"Troubleshooter","en-US","Probleemoplosser"
"Reports","en-US","Rapporten"
"My Preferences","en-US","Mijn voorkeuren"
"Notifications","en-US","Notificaties"
"Comments","en-US","Reacties"
"Manage Tickets","en-US","Tickets beheren"
"New Ticket","en-US","Nieuwe ticket"
"Macros","en-US","Macro's"
"Views","en-US","Weergaven"
"Filters","en-US","Filters"
"Chat History","en-US","Chatgeschiedenis"
"Messages/Surveys","en-US","Berichten/onderzoeken"
"Call Logs","en-US","Oproeplogs"
"Canned Responses","en-US","Standaard antwoorden"
"View Knowledgebase","en-US","Kennisbank weergeven"
"Manage Knowledgebase","en-US","Kennisbank beheren"
"New Article","en-US","Nieuw artikel"
"View Troubleshooter","en-US","Probleemoplosser weergeven"
"Manage Troubleshooter","en-US","Probleemoplosser beheren"
"New Step","en-US","Nieuwe stap"
"View News","en-US","Nieuws weergeven"
"Manage News","en-US","Nieuws beheren"
"Subscribers","en-US","Abonnees"
"Insert News","en-US","Nieuws toevoegen"
"Manage Users","en-US","Gebruikers beheren"
"Manage Organizations","en-US","Organisaties beheren"
"Insert User","en-US","Gebruiker toevoegen"
"Insert Organizations","en-US","Organisaties toevoegen"
"Manage Reports","en-US","Rapporten beheren"
"New Report","en-US","Nieuw rapport"
"Email Queues","en-US","E-mailwachtrij"
"Rules","en-US","Regels"
"Bans","en-US","Bans"
"Catch-all Rules","en-US","Catch-allregels"
"Loop Blockages","en-US","Lusblokkeringen"
"Loop Blocker Rules","en-US","Lusblokkeringsregels"
