"Identifier","Default language","Text"
"Settings","en-US","Impostazioni"
"REST API","en-US","REST API"
"Tag Generator","en-US","Generatore di Tag"
"Templates","en-US","Modelli"
"Languages","en-US","Lingue"
"Custom Fields","en-US","Campi Personalizzati"
"GeoIP","en-US","GeoIP"
"Live Support","en-US","Supporto Live"
"Email Parser","en-US","Analizzatore Email"
"Tickets","en-US","Ticket"
"Workflow","en-US","Flusso di lavoro"
"Ratings","en-US","Valutazioni"
"SLA","en-US","SLA"
"Escalations","en-US","Escalation"
"Bayesian","en-US","Bayesiano"
"Knowledgebase","en-US","Knowledgebase"
"News","en-US","Notizie"
"Troubleshooter","en-US","Risolutore problematiche"
"Widgets","en-US","Widget"
"Apps","en-US","App"
"Logs","en-US","Registri"
"Scheduled Tasks","en-US","Operazioni Pianificate"
"Database","en-US","Database"
"Import","en-US","Importa"
"Diagnostics","en-US","Diagnostica"
"Maintenance","en-US","Manutenzione"
"Groups","en-US","Gruppi"
"Search","en-US","Cerca"
"Import/Export","en-US","Importa/Esporta"
"Restore","en-US","Ripristina"
"Header Logos","en-US","Logo d'Intestazione"
"Phrases","en-US","Frasi"
"Fields","en-US","Campi"
"Types","en-US","Tipi"
"Statuses","en-US","Stati"
"Priorities","en-US","Priorità"
"File Types","en-US","Tipi di File"
"Links","en-US","Link"
"Auto Close","en-US","Chiusura Automatica"
"Plans","en-US","Pianificazioni"
"Schedules","en-US","Orari"
"Holidays","en-US","Festività"
"Categories","en-US","Categorie"
"Error Log","en-US","Registro degli Errori"
"Task Log","en-US","Registro Attività"
"Activity Log","en-US","Registro Attività"
"Login Log","en-US","Registro di Accesso"
"Manage","en-US","Gestisci"
"Table Information","en-US","Informazioni Tabella"
"Active Sessions","en-US","Sessioni Attive"
"Cache Info","en-US","Informazioni Cache"
"Rebuild Cache","en-US","Ricostruisci la Cache"
"PHP Info","en-US","Info PHP"
"Report Issue","en-US","Segnala Problema"
"License Info","en-US","Informazioni Licenze"
"Visitor Rules","en-US","Regole Visitatori"
"Visitor Groups","en-US","Gruppi di Visitatori"
"Staff Skills","en-US","Competenze del Personale"
"Visitor Bans","en-US","Blocchi Visitatori"
"Message Routing","en-US","Smistamento Messaggi"
"Staff Status","en-US","Stato del Personale"
"API Information","en-US","Informazioni API"
"Import Log","en-US","Importa Registro"
"Purge Attachments","en-US","Elimina Allegati"
"Move Attachments","en-US","Sposta gli Allegati"
"Parser Log","en-US","Registro dell'Analizzatore"
"Home","en-US","Pagina iniziale"
"Staff","en-US","Personale"
"Departments","en-US","Dipartimenti"
"Users","en-US","Utenti"
"Manage Staff","en-US","Gestisci il Personale"
"Manage Teams","en-US","Gestisci Squadre"
"Insert Staff","en-US","Inserisci Personale"
"Insert Teams","en-US","Inserisci Squadre"
"Manage Departments","en-US","Gestisci Dipartimenti"
"Insert Department","en-US","Inserisci Dipartimento"
"Access Overview","en-US","Panoramica di Accesso"
"Manage User Groups","en-US","Gestisci Gruppi di Utenti"
"Insert User Groups","en-US","Inserisci Gruppi di Utenti"
"Troubleshooter","en-US","Risolutore problematiche"
"Reports","en-US","Report"
"My Preferences","en-US","Le Mie Preferenze"
"Notifications","en-US","Notifiche"
"Comments","en-US","Commenti"
"Manage Tickets","en-US","Gestisci Ticket"
"New Ticket","en-US","Nuovo Ticket"
"Macros","en-US","Macro"
"Views","en-US","Visualizzazioni"
"Filters","en-US","Filtri"
"Chat History","en-US","Cronologia Chat"
"Messages/Surveys","en-US","Messaggi/Sondaggi"
"Call Logs","en-US","Registri delle Chiamate"
"Canned Responses","en-US","Risposte Preconfezionate"
"View Knowledgebase","en-US","Visualizza Knowledgebase"
"Manage Knowledgebase","en-US","Gestisci Knowledgebase"
"New Article","en-US","Nuovo Articolo"
"View Troubleshooter","en-US","Visualizza Risolutore Problematiche"
"Manage Troubleshooter","en-US","Gestisci Risolutore Problematiche"
"New Step","en-US","Nuovo Passaggio"
"View News","en-US","Visualizza Notizie"
"Manage News","en-US","Gestisci Notizie"
"Subscribers","en-US","Abbonati"
"Insert News","en-US","Inserisci Notizie"
"Manage Users","en-US","Gestisci Utenti"
"Manage Organizations","en-US","Gestisci Organizzazioni"
"Insert User","en-US","Inserisci Utente"
"Insert Organizations","en-US","Inserisci Organizzazioni"
"Manage Reports","en-US","Gestisci Report"
"New Report","en-US","Nuovo Report"
"Email Queues","en-US","Code Email"
"Rules","en-US","Regole"
"Bans","en-US","Blocchi"
"Catch-all Rules","en-US","Regole di Catch-all"
"Loop Blockages","en-US","Blocchi Loop"
"Loop Blocker Rules","en-US","Regole di Blocco Loop"
